Id,Nome,Posi��o,Rating,Apari��es,Gols,Assist�ncias,G+A,Gols_Falta,Frequ�ncia_Marcando,Chutes_Totais,Chutes_no_Gols,Grandes_Chances_Perdidas,Grandes_Chances_Criadas,Passe_Certos,Passes_Chaves,Passes_Longos_Certos,Dribles_Certos,Carrinhos,Intercepta��es,Afastamentos,Posse_Perdida,Cart�es_Amarelos,Cart�es_Vermelhos,Gols_Penalti,Penaltis_Batidos,Penaltis_Sofridos,Porcentagem_Passes_Certos,Porcentagem_Dribles_Certos,Temporada,Liga
41789,Robert Lewandowski,F,7.485714286,14,13,4,17,0,82.07692308,51,29,10,3,224,15,9,13,7,0,2,134,0,1,0,1,0,80,50,22/23,La Liga
992587,Pedri,M,7.357142857,14,3,0,3,0,343,10,4,0,6,655,19,76,15,20,9,6,108,0,0,0,0,0,91.09874826,62.5,22/23,La Liga
818244,Ousmane Demb�l�,F,7.335714286,14,4,5,9,0,218.25,30,11,2,7,383,32,20,17,14,0,1,176,3,0,0,0,0,84.73451327,32.69230769,22/23,La Liga
827212,Jules Kound�,D,7.285714286,7,0,2,2,0,0,5,0,1,2,419,5,23,2,7,4,5,47,0,0,0,0,0,92.2907489,66.66666667,22/23,La Liga
795222,Frenkie de Jong,M,7.276923077,13,2,1,3,0,448.5,13,9,1,2,654,18,37,15,20,16,5,109,0,0,0,0,0,90.45643154,68.18181818,22/23,La Liga
35199,Jordi Alba,D,7.24,10,0,1,1,0,0,5,1,0,5,558,19,31,2,12,4,5,115,2,0,0,0,0,87.87401575,50,22/23,La Liga
831005,Raphinha,M,7.230769231,13,2,2,4,0,283.5,26,6,2,5,246,21,17,13,9,5,2,142,1,0,0,0,0,79.35483871,52,22/23,La Liga
39433,Sergio Busquets,M,7.175,12,0,1,1,0,0,2,1,0,0,611,7,43,2,20,12,11,94,4,1,0,0,0,89.06705539,66.66666667,22/23,La Liga
88625,Marc-Andr� ter Stegen,G,7.164285714,14,0,0,0,0,0,0,0,0,0,384,1,0,0,0,1,7,77,0,0,0,0,0,83.84279476,0,22/23,La Liga
770,Gerard Piqu�,D,7.133333333,6,0,0,0,0,0,3,0,0,0,353,1,30,1,5,2,19,35,3,1,0,0,0,92.16710183,100,22/23,La Liga
997035,Alejandro Balde,D,7.066666667,12,0,3,3,0,0,6,2,0,3,549,8,21,11,17,6,5,96,2,0,0,0,0,91.65275459,57.89473684,22/23,La Liga
69408,Marcos Alonso,M,7.057142857,7,0,0,0,0,0,0,0,0,0,358,1,17,1,6,6,9,36,1,0,0,0,0,92.50645995,100,22/23,La Liga
138833,Memphis Depay,F,7.05,2,1,0,1,0,116,6,3,1,0,52,3,2,2,2,0,0,27,0,0,0,0,0,83.87096774,40,22/23,La Liga
876214,Eric Garc�a,D,7,9,1,0,1,0,616,3,1,0,0,455,0,31,0,12,9,9,50,2,0,0,0,0,91.36546185,0,22/23,La Liga
925097,Ronald Ara�jo,D,7,6,0,0,0,0,0,3,0,1,0,290,1,16,1,8,7,11,51,3,0,0,0,0,87.34939759,100,22/23,La Liga
123976,Sergi Roberto,D,6.955555556,9,2,0,2,0,186.5,5,3,0,1,245,3,11,1,5,7,6,33,1,0,0,0,0,93.8697318,25,22/23,La Liga
188365,H�ctor Beller�n,D,6.933333333,3,0,0,0,0,0,0,0,0,0,64,1,4,3,2,3,1,21,0,0,0,0,0,80,75,22/23,La Liga
1103693,Gavi,M,6.921428571,14,0,1,1,0,0,5,0,0,0,377,17,15,11,14,9,5,90,2,0,0,0,0,90625,64.70588235,22/23,La Liga
962883,Ansu Fati,F,6.907142857,14,3,3,6,0,154,29,10,4,1,180,7,1,12,5,3,3,69,0,0,0,0,0,86.12440191,57.14285714,22/23,La Liga
186795,Andreas Christensen,D,6.86,5,0,0,0,0,0,1,0,0,0,284,1,7,0,4,3,9,24,1,0,0,0,0,92.50814332,0,22/23,La Liga
855833,Ferran Torres,F,6.707692308,13,2,0,2,0,283,26,8,6,3,176,7,8,13,5,1,1,98,3,0,0,0,0,83.01886792,50,22/23,La Liga
51498,Pierre-Emerick Aubameyang,F,6.7,1,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,22/23,La Liga
359226,Franck Kessi�,M,6.628571429,7,0,0,0,0,0,6,0,1,0,92,2,4,0,3,1,1,21,3,0,0,0,0,88.46153846,0,22/23,La Liga
1082981,Pablo Torre,M,6.5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,66.66666667,0,22/23,La Liga
818244,Ousmane Demb�l�,F,7.528571429,21,1,13,14,0,1411,46,8,4,13,562,46,24,59,24,8,2,333,3,0,0,0,0,84.38438438,65.55555556,21/22,La Liga
35199,Jordi Alba,D,7.303333333,30,2,10,12,0,1324,31,6,1,11,2071,60,98,6,47,33,33,509,11,0,0,0,0,86.58026756,27.27272727,21/22,La Liga
4419,Dani Alves,D,7.285714286,14,1,3,4,0,1107,5,2,0,3,806,22,39,12,30,11,8,192,2,1,0,0,0,87.99126638,100,21/22,La Liga
138833,Memphis Depay,F,7.264285714,28,12,2,14,0,153.9166667,61,34,9,5,664,45,17,45,10,3,4,392,3,0,4,5,3,82.07663782,60.81081081,21/22,La Liga
39433,Sergio Busquets,M,7.261111111,36,2,0,2,0,1601,14,4,0,2,2425,33,202,21,93,45,30,403,12,0,0,0,0,87.57674251,80.76923077,21/22,La Liga
1089108,Ili�s Akhomach Chakkour,F,7.25,2,0,0,0,0,0,4,2,0,1,43,4,0,1,2,0,0,14,0,0,0,0,0,87.75510204,33.33333333,21/22,La Liga
992587,Pedri,M,7.225,12,3,1,4,0,296,12,5,0,1,501,15,36,15,20,5,5,129,0,0,0,0,0,86.52849741,78.94736842,21/22,La Liga
51498,Pierre-Emerick Aubameyang,F,7.135294118,17,11,1,12,0,99.27272727,37,20,7,3,176,8,5,4,2,2,3,101,0,0,0,0,0,75.53648069,66.66666667,21/22,La Liga
66471,Martin Braithwaite,F,7.125,4,2,1,3,0,118.5,7,3,1,2,44,2,1,2,1,1,1,27,0,0,0,0,0,81.48148148,66.66666667,21/22,La Liga
770,Gerard Piqu�,D,7.107407407,27,1,0,1,0,2096,19,3,1,1,1509,5,118,6,22,34,85,185,8,1,0,0,0,89.98211091,100,21/22,La Liga
795222,Frenkie de Jong,M,7.075,32,3,3,6,0,828.6666667,17,8,6,3,1496,43,75,51,35,20,15,255,5,1,0,0,0,91.33089133,85,21/22,La Liga
925097,Ronald Ara�jo,D,7.07,30,4,0,4,0,570.75,18,10,0,2,1449,8,85,6,41,23,59,198,6,0,0,0,0,90.16801493,75,21/22,La Liga
962883,Ansu Fati,F,7,10,4,0,4,0,82.75,18,8,0,1,131,2,2,4,3,1,0,61,0,0,0,0,1,85.06493506,28.57142857,21/22,La Liga
855833,Ferran Torres,F,6.983333333,18,4,4,8,0,354.25,52,19,8,7,484,12,24,13,10,6,5,191,1,0,1,1,0,84.61538462,35.13513514,21/22,La Liga
1011375,Abdessamad Ezzalzouli,F,6.9,10,1,0,1,0,581,16,4,1,2,128,6,2,34,17,9,0,122,4,0,0,0,0,76.19047619,57.62711864,21/22,La Liga
96547,Samuel Umtiti,D,6.9,1,0,0,0,0,0,0,0,0,0,41,0,5,0,2,0,4,8,1,0,0,0,0,87.23404255,0,21/22,La Liga
286165,Adama Traor�,F,6.890909091,11,0,2,2,0,0,9,3,1,2,109,7,3,24,4,4,3,78,0,0,0,0,0,85.15625,68.57142857,21/22,La Liga
876214,Eric Garc�a,D,6.873076923,26,0,0,0,0,0,6,4,1,0,1558,4,86,2,27,44,47,135,5,1,0,0,0,93.18181818,66.66666667,21/22,La Liga
906021,Sergi�o Dest,D,6.852380952,21,0,3,3,0,0,12,3,2,5,754,18,15,37,32,2,17,216,2,0,0,0,0,92.40196078,56.06060606,21/22,La Liga
1103693,Gavi,M,6.847058824,34,2,5,7,0,1164.5,30,8,7,8,1068,21,33,53,38,25,10,329,9,1,0,0,1,89.29765886,61.62790698,21/22,La Liga
17094,Sergio Ag�ero,F,6.833333333,4,1,0,1,0,151,6,1,1,1,29,1,0,1,1,0,0,19,0,0,0,0,0,74.35897436,50,21/22,La Liga
859773,�scar Mingueza,D,6.811111111,19,0,1,1,0,0,2,1,0,3,584,9,24,6,25,9,18,117,2,0,0,0,0,89.29663609,85.71428571,21/22,La Liga
40878,Luuk de Jong,F,6.80952381,21,6,0,6,0,116.5,24,10,6,1,131,5,0,3,9,0,12,98,1,0,0,0,0,71.97802198,75,21/22,La Liga
123976,Sergi Roberto,D,6.8,9,2,1,3,0,199.5,4,3,1,0,219,4,2,3,5,4,6,34,1,0,0,0,0,92.01680672,100,21/22,La Liga
84844,Neto,G,6.8,3,0,0,0,0,0,0,0,0,0,89,1,0,0,0,0,3,24,0,0,0,0,0,79.46428571,0,21/22,La Liga
88625,Marc-Andr� ter Stegen,G,6.797142857,35,0,0,0,0,0,0,0,0,0,970,1,0,2,0,1,22,168,3,0,0,0,0,85.91674048,100,21/22,La Liga
949962,Ferran Jutgl�,F,6.78,6,1,0,1,0,307,10,4,2,0,96,2,3,2,2,1,1,33,1,0,0,0,0,84.95575221,40,21/22,La Liga
119159,Philippe Coutinho,M,6.766666667,12,2,0,2,0,250,24,7,2,1,262,1,7,13,6,4,3,98,1,0,1,1,1,86.75496689,68.42105263,21/22,La Liga
954056,Nicol�s Gonz�lez,M,6.738461538,27,2,1,3,0,562,17,4,1,1,606,13,12,34,31,6,12,141,6,0,0,0,0,90.04457652,79.06976744,21/22,La Liga
580550,Cl�ment Lenglet,D,6.670588235,21,0,1,1,0,0,2,1,0,2,740,2,48,1,20,13,19,85,4,0,0,0,0,91.02091021,50,21/22,La Liga
901842,Riqui Puig,M,6.626666667,15,1,0,1,0,474,9,3,0,0,417,5,16,5,6,3,0,58,0,0,0,0,0,92.66666667,62.5,21/22,La Liga
962283,Yusuf Demir,M,6.533333333,6,0,0,0,0,0,1,0,0,0,68,0,0,5,3,2,1,28,0,0,0,0,0,90.66666667,55.55555556,21/22,La Liga
997035,Alejandro Balde,D,6.525,5,0,0,0,0,0,1,0,0,0,133,1,0,1,2,1,0,24,0,0,0,0,0,95.68345324,20,21/22,La Liga
