,player,x,y,loc,interaction,Jogo,temporada
0,Antoine Griezmann,86.59428571428572,44.888571428571424,[86.59428571 44.88857143],80,Barcelona x Celta Vigo,2020/2021
1,Clément Lenglet,58.82083333333334,55.729166666666664,[58.82083333 55.72916667],141,Barcelona x Celta Vigo,2020/2021
2,Gerard Piqué Bernabéu,48.11,33.695,[48.11  33.695],114,Barcelona x Celta Vigo,2020/2021
3,Jordi Alba Ramos,76.96081081081081,63.689189189189186,[76.96081081 63.68918919],149,Barcelona x Celta Vigo,2020/2021
4,Lionel Andrés Messi Cuccittini,84.15636363636364,30.28363636363636,[84.15636364 30.28363636],129,Barcelona x Celta Vigo,2020/2021
5,Marc-André ter Stegen,12.993103448275862,37.06206896551724,[12.99310345 37.06206897],56,Barcelona x Celta Vigo,2020/2021
6,Moriba Kourouma Kourouma,73.03333333333333,21.152631578947368,[73.03333333 21.15263158],107,Barcelona x Celta Vigo,2020/2021
7,Ousmane Dembélé,85.7,12.109090909090908,[85.7        12.10909091],94,Barcelona x Celta Vigo,2020/2021
8,Pedro González López,78.28695652173913,50.37826086956522,[78.28695652 50.37826087],48,Barcelona x Celta Vigo,2020/2021
9,Ronald Federico Araújo da Silva,47.272602739726025,11.536986301369861,[47.27260274 11.5369863 ],129,Barcelona x Celta Vigo,2020/2021
10,Sergio Busquets i Burgos,65.58831168831169,38.26233766233766,[65.58831169 38.26233766],151,Barcelona x Celta Vigo,2020/2021
0,Antoine Griezmann,70.22972972972973,28.1,[70.22972973 28.1       ],79,Real Betis x Barcelona,2020/2021
1,Clément Lenglet,44.74098360655737,43.0672131147541,[44.74098361 43.06721311],112,Real Betis x Barcelona,2020/2021
2,Jordi Alba Ramos,61.49285714285714,62.7047619047619,[61.49285714 62.7047619 ],92,Real Betis x Barcelona,2020/2021
3,Marc-André ter Stegen,10.667741935483871,32.64193548387097,[10.66774194 32.64193548],47,Real Betis x Barcelona,2020/2021
4,Martin Braithwaite Christensen,71.04285714285714,56.464285714285715,[71.04285714 56.46428571],38,Real Betis x Barcelona,2020/2021
