,dupla,x1,y1,x2,y2,interaction,Jogo,temporada
0,Clément Lenglet_Jordi Alba Ramos,58.82083333333334,55.729166666666664,76.96081081081081,63.689189189189186,44,Barcelona x Celta Vigo,2020/2021
1,Gerard Piqué Bernabéu_Jordi Alba Ramos,48.11,33.695,76.96081081081081,63.689189189189186,8,Barcelona x Celta Vigo,2020/2021
2,Antoine Griezmann_Jordi Alba Ramos,86.59428571428572,44.888571428571424,76.96081081081081,63.689189189189186,19,Barcelona x Celta Vigo,2020/2021
3,Clément Lenglet_Sergio Busquets i Burgos,58.82083333333334,55.729166666666664,65.58831168831169,38.26233766233766,31,Barcelona x Celta Vigo,2020/2021
4,Gerard Piqué Bernabéu_Sergio Busquets i Burgos,48.11,33.695,65.58831168831169,38.26233766233766,15,Barcelona x Celta Vigo,2020/2021
5,Lionel Andrés Messi Cuccittini_Sergio Busquets i Burgos,84.15636363636364,30.28363636363636,65.58831168831169,38.26233766233766,32,Barcelona x Celta Vigo,2020/2021
6,Moriba Kourouma Kourouma_Sergio Busquets i Burgos,73.03333333333333,21.152631578947368,65.58831168831169,38.26233766233766,13,Barcelona x Celta Vigo,2020/2021
7,Jordi Alba Ramos_Sergio Busquets i Burgos,76.96081081081081,63.689189189189186,65.58831168831169,38.26233766233766,22,Barcelona x Celta Vigo,2020/2021
8,Antoine Griezmann_Sergio Busquets i Burgos,86.59428571428572,44.888571428571424,65.58831168831169,38.26233766233766,10,Barcelona x Celta Vigo,2020/2021
9,Ousmane Dembélé_Sergio Busquets i Burgos,85.7,12.109090909090908,65.58831168831169,38.26233766233766,10,Barcelona x Celta Vigo,2020/2021
10,Marc-André ter Stegen_Sergio Busquets i Burgos,12.993103448275862,37.06206896551724,65.58831168831169,38.26233766233766,3,Barcelona x Celta Vigo,2020/2021
11,Ronald Federico Araújo da Silva_Sergio Busquets i Burgos,47.272602739726025,11.536986301369861,65.58831168831169,38.26233766233766,13,Barcelona x Celta Vigo,2020/2021
12,Pedro González López_Sergio Busquets i Burgos,78.28695652173913,50.37826086956522,65.58831168831169,38.26233766233766,2,Barcelona x Celta Vigo,2020/2021
13,Clément Lenglet_Gerard Piqué Bernabéu,58.82083333333334,55.729166666666664,48.11,33.695,26,Barcelona x Celta Vigo,2020/2021
14,Antoine Griezmann_Gerard Piqué Bernabéu,86.59428571428572,44.888571428571424,48.11,33.695,1,Barcelona x Celta Vigo,2020/2021
15,Clément Lenglet_Marc-André ter Stegen,58.82083333333334,55.729166666666664,12.993103448275862,37.06206896551724,14,Barcelona x Celta Vigo,2020/2021
16,Gerard Piqué Bernabéu_Marc-André ter Stegen,48.11,33.695,12.993103448275862,37.06206896551724,6,Barcelona x Celta Vigo,2020/2021
17,Lionel Andrés Messi Cuccittini_Marc-André ter Stegen,84.15636363636364,30.28363636363636,12.993103448275862,37.06206896551724,2,Barcelona x Celta Vigo,2020/2021
18,Jordi Alba Ramos_Marc-André ter Stegen,76.96081081081081,63.689189189189186,12.993103448275862,37.06206896551724,5,Barcelona x Celta Vigo,2020/2021
19,Clément Lenglet_Ronald Federico Araújo da Silva,58.82083333333334,55.729166666666664,47.272602739726025,11.536986301369861,7,Barcelona x Celta Vigo,2020/2021
20,Gerard Piqué Bernabéu_Ronald Federico Araújo da Silva,48.11,33.695,47.272602739726025,11.536986301369861,38,Barcelona x Celta Vigo,2020/2021
21,Lionel Andrés Messi Cuccittini_Ronald Federico Araújo da Silva,84.15636363636364,30.28363636363636,47.272602739726025,11.536986301369861,5,Barcelona x Celta Vigo,2020/2021
22,Moriba Kourouma Kourouma_Ronald Federico Araújo da Silva,73.03333333333333,21.152631578947368,47.272602739726025,11.536986301369861,16,Barcelona x Celta Vigo,2020/2021
23,Jordi Alba Ramos_Ronald Federico Araújo da Silva,76.96081081081081,63.689189189189186,47.272602739726025,11.536986301369861,2,Barcelona x Celta Vigo,2020/2021
24,Antoine Griezmann_Ronald Federico Araújo da Silva,86.59428571428572,44.888571428571424,47.272602739726025,11.536986301369861,6,Barcelona x Celta Vigo,2020/2021
25,Ousmane Dembélé_Ronald Federico Araújo da Silva,85.7,12.109090909090908,47.272602739726025,11.536986301369861,21,Barcelona x Celta Vigo,2020/2021
